node;timestamp;module;lc;face;prefix
bna;1670213639.419869;[nfd.FIB];0;1;/localhost/nfd;
bna;1670213639.545504;[nfd.FIB];0;258;/localhost/nfd/rib;
bna;1670213656.371237;[nfd.FIB];0;267;/localhop/ndn/nlsr/sync/v=10;
bna;1670213656.374003;[nfd.FIB];0;267;/localhop/ndn/nlsr/LSA;
bna;1670213656.375049;[nfd.FIB];0;267;/ndn/bna-site/%C1.Router/cs/bna/nlsr/INFO;
bna;1670213656.376547;[nfd.FIB];0;267;/ndn/bna-site/%C1.Router/cs/bna/nlsr;
bna;1670213656.377215;[nfd.FIB];0;267;/localhost/nlsr;
bna;1670213656.377592;[nfd.FIB];0;267;/ndn/bna-site/%C1.Router/cs/bna/nlsr/KEY;
bna;1670213656.377997;[nfd.FIB];0;267;/ndn/bna-site/%C1.Router/cs/bna/KEY;
bna;1670213656.378342;[nfd.FIB];0;267;/ndn/bna-site/%C1.Operator;
bna;1670213656.378712;[nfd.FIB];0;267;/ndn/bna-site/KEY;
bna;1670213656.379052;[nfd.FIB];10;264;/ndn/mdn-site/%C1.Router/cs/mdn;
bna;1670213656.379390;[nfd.FIB];10;264;/localhop/ndn/nlsr/LSA;
bna;1670213656.379764;[nfd.FIB];10;266;/ndn/mbo-site/%C1.Router/cs/mbo;
bna;1670213656.380105;[nfd.FIB];10;266;/localhop/ndn/nlsr/LSA;
bna;1670213667.157889;[nfd.FIB];10;266;/localhop/ndn/nlsr/sync/v=10;
bna;1670213670.645086;[nfd.FIB];10;264;/localhop/ndn/nlsr/sync/v=10;
bna;1670213693.975696;[nfd.FIB];10;266;/ndn/mbo-site/mbo;
bna;1670213709.330033;[nfd.FIB];70;264;/ndn/smg-site/smg;
bna;1670213709.331509;[nfd.FIB];80;266;/ndn/smg-site/smg;
bna;1670213709.332304;[nfd.FIB];70;264;/ndn/smg-site/%C1.Router/cs/smg;
bna;1670213709.332986;[nfd.FIB];80;266;/ndn/smg-site/%C1.Router/cs/smg;
bna;1670213709.358369;[nfd.FIB];90;264;/ndn/mlg-site/mlg;
bna;1670213709.404751;[nfd.FIB];100;266;/ndn/mlg-site/mlg;
bna;1670213709.408276;[nfd.FIB];90;264;/ndn/mlg-site/%C1.Router/cs/mlg;
bna;1670213709.409245;[nfd.FIB];100;266;/ndn/mlg-site/%C1.Router/cs/mlg;
bna;1670213709.410027;[nfd.FIB];70;264;/ndn/bjm-site/bjm;
bna;1670213709.411005;[nfd.FIB];80;266;/ndn/bjm-site/bjm;
bna;1670213709.411748;[nfd.FIB];70;264;/ndn/bjm-site/%C1.Router/cs/bjm;
bna;1670213709.415322;[nfd.FIB];80;266;/ndn/bjm-site/%C1.Router/cs/bjm;
bna;1670213709.416104;[nfd.FIB];80;264;/ndn/mks-site/mks;
bna;1670213709.416871;[nfd.FIB];90;266;/ndn/mks-site/mks;
bna;1670213709.418028;[nfd.FIB];80;264;/ndn/mks-site/%C1.Router/cs/mks;
bna;1670213709.418787;[nfd.FIB];90;266;/ndn/mks-site/%C1.Router/cs/mks;
bna;1670213709.419514;[nfd.FIB];20;264;/ndn/mbo-site/mbo;
bna;1670213709.420492;[nfd.FIB];80;264;/ndn/bpp-site/bpp;
bna;1670213709.421821;[nfd.FIB];90;266;/ndn/bpp-site/bpp;
bna;1670213709.422855;[nfd.FIB];80;264;/ndn/bpp-site/%C1.Router/cs/bpp;
bna;1670213709.424074;[nfd.FIB];90;266;/ndn/bpp-site/%C1.Router/cs/bpp;
bna;1670213709.426236;[nfd.FIB];30;264;/ndn/plg-site/plg;
bna;1670213709.426773;[nfd.FIB];40;266;/ndn/plg-site/plg;
bna;1670213709.427416;[nfd.FIB];30;264;/ndn/plg-site/%C1.Router/cs/plg;
bna;1670213709.428683;[nfd.FIB];40;266;/ndn/plg-site/%C1.Router/cs/plg;
bna;1670213709.429872;[nfd.FIB];90;264;/ndn/amb-site/amb;
bna;1670213709.430628;[nfd.FIB];100;266;/ndn/amb-site/amb;
bna;1670213709.431531;[nfd.FIB];90;264;/ndn/amb-site/%C1.Router/cs/amb;
bna;1670213709.432725;[nfd.FIB];100;266;/ndn/amb-site/%C1.Router/cs/amb;
bna;1670213709.433533;[nfd.FIB];10;264;/ndn/mdn-site/mdn;
bna;1670213709.434429;[nfd.FIB];20;266;/ndn/mdn-site/mdn;
bna;1670213709.435563;[nfd.FIB];60;264;/ndn/bdg-site/bdg;
bna;1670213709.436769;[nfd.FIB];70;266;/ndn/bdg-site/bdg;
bna;1670213709.437535;[nfd.FIB];60;264;/ndn/bdg-site/%C1.Router/cs/bdg;
bna;1670213709.438410;[nfd.FIB];70;266;/ndn/bdg-site/%C1.Router/cs/bdg;
bna;1670213709.439583;[nfd.FIB];40;264;/ndn/pgp-site/pgp;
bna;1670213709.440348;[nfd.FIB];50;266;/ndn/pgp-site/pgp;
bna;1670213709.441227;[nfd.FIB];40;264;/ndn/pgp-site/%C1.Router/cs/pgp;
bna;1670213709.442384;[nfd.FIB];50;266;/ndn/pgp-site/%C1.Router/cs/pgp;
bna;1670213709.443173;[nfd.FIB];100;264;/ndn/mnd-site/mnd;
bna;1670213709.444206;[nfd.FIB];110;266;/ndn/mnd-site/mnd;
bna;1670213709.445192;[nfd.FIB];100;264;/ndn/mnd-site/%C1.Router/cs/mnd;
bna;1670213709.446370;[nfd.FIB];110;266;/ndn/mnd-site/%C1.Router/cs/mnd;
bna;1670213709.447126;[nfd.FIB];20;264;/ndn/pbr-site/pbr;
bna;1670213709.448557;[nfd.FIB];30;266;/ndn/pbr-site/pbr;
bna;1670213709.448831;[nfd.FIB];20;264;/ndn/pbr-site/%C1.Router/cs/pbr;
bna;1670213709.449118;[nfd.FIB];30;266;/ndn/pbr-site/%C1.Router/cs/pbr;
bna;1670213709.449458;[nfd.FIB];90;264;/ndn/dpr-site/dpr;
bna;1670213709.449757;[nfd.FIB];100;266;/ndn/dpr-site/dpr;
bna;1670213709.450085;[nfd.FIB];90;264;/ndn/dpr-site/%C1.Router/cs/dpr;
bna;1670213709.450364;[nfd.FIB];100;266;/ndn/dpr-site/%C1.Router/cs/dpr;
bna;1670213709.450651;[nfd.FIB];20;264;/ndn/sbg-site/sbg;
bna;1670213709.450920;[nfd.FIB];30;266;/ndn/sbg-site/sbg;
bna;1670213709.451166;[nfd.FIB];20;264;/ndn/sbg-site/%C1.Router/cs/sbg;
bna;1670213709.451414;[nfd.FIB];30;266;/ndn/sbg-site/%C1.Router/cs/sbg;
bna;1670213709.451691;[nfd.FIB];90;264;/ndn/pal-site/pal;
bna;1670213709.452006;[nfd.FIB];100;266;/ndn/pal-site/pal;
bna;1670213709.452337;[nfd.FIB];90;264;/ndn/pal-site/%C1.Router/cs/pal;
bna;1670213709.452598;[nfd.FIB];100;266;/ndn/pal-site/%C1.Router/cs/pal;
bna;1670213709.453150;[nfd.FIB];40;264;/ndn/lmp-site/lmp;
bna;1670213709.453717;[nfd.FIB];50;266;/ndn/lmp-site/lmp;
bna;1670213709.454402;[nfd.FIB];40;264;/ndn/lmp-site/%C1.Router/cs/lmp;
bna;1670213709.455302;[nfd.FIB];50;266;/ndn/lmp-site/%C1.Router/cs/lmp;
bna;1670213709.455845;[nfd.FIB];80;264;/ndn/sby-site/sby;
bna;1670213709.456637;[nfd.FIB];90;266;/ndn/sby-site/sby;
bna;1670213709.457232;[nfd.FIB];80;264;/ndn/sby-site/%C1.Router/cs/sby;
bna;1670213709.457826;[nfd.FIB];90;266;/ndn/sby-site/%C1.Router/cs/sby;
bna;1670213709.458616;[nfd.FIB];60;264;/ndn/cbn-site/cbn;
bna;1670213709.459229;[nfd.FIB];70;266;/ndn/cbn-site/cbn;
bna;1670213709.460035;[nfd.FIB];60;264;/ndn/cbn-site/%C1.Router/cs/cbn;
bna;1670213709.460573;[nfd.FIB];70;266;/ndn/cbn-site/%C1.Router/cs/cbn;
bna;1670213709.461092;[nfd.FIB];70;264;/ndn/yyk-site/yyk;
bna;1670213709.461643;[nfd.FIB];80;266;/ndn/yyk-site/yyk;
bna;1670213709.462203;[nfd.FIB];70;264;/ndn/yyk-site/%C1.Router/cs/yyk;
bna;1670213709.462753;[nfd.FIB];80;266;/ndn/yyk-site/%C1.Router/cs/yyk;
bna;1670213709.463316;[nfd.FIB];30;264;/ndn/btm-site/btm;
bna;1670213709.463879;[nfd.FIB];40;266;/ndn/btm-site/btm;
bna;1670213709.464438;[nfd.FIB];30;264;/ndn/btm-site/%C1.Router/cs/btm;
bna;1670213709.464986;[nfd.FIB];40;266;/ndn/btm-site/%C1.Router/cs/btm;
bna;1670213709.465547;[nfd.FIB];30;264;/ndn/pad-site/pad;
bna;1670213709.466432;[nfd.FIB];40;266;/ndn/pad-site/pad;
bna;1670213709.466995;[nfd.FIB];30;264;/ndn/pad-site/%C1.Router/cs/pad;
bna;1670213709.467555;[nfd.FIB];40;266;/ndn/pad-site/%C1.Router/cs/pad;
bna;1670213709.468138;[nfd.FIB];50;264;/ndn/jkt-site/jkt;
bna;1670213709.468939;[nfd.FIB];60;266;/ndn/jkt-site/jkt;
bna;1670213709.469535;[nfd.FIB];50;264;/ndn/jkt-site/%C1.Router/cs/jkt;
bna;1670213709.470134;[nfd.FIB];60;266;/ndn/jkt-site/%C1.Router/cs/jkt;
bna;1670213709.470792;[nfd.FIB];50;264;/ndn/btu-site/btu;
bna;1670213709.471455;[nfd.FIB];60;266;/ndn/btu-site/btu;
bna;1670213709.472106;[nfd.FIB];50;264;/ndn/btu-site/%C1.Router/cs/btu;
bna;1670213709.472642;[nfd.FIB];60;266;/ndn/btu-site/%C1.Router/cs/btu;
bna;1670213709.472962;[nfd.FIB];60;264;/ndn/ptk-site/ptk;
bna;1670213709.473281;[nfd.FIB];70;266;/ndn/ptk-site/ptk;
bna;1670213709.473616;[nfd.FIB];60;264;/ndn/ptk-site/%C1.Router/cs/ptk;
bna;1670213709.473964;[nfd.FIB];70;266;/ndn/ptk-site/%C1.Router/cs/ptk;
bna;1670213807.922620;[nfd.FIB];10;264;/konten/mdn/a;
bna;1670213807.923525;[nfd.FIB];20;266;/konten/mdn/a;
bna;1670213807.960303;[nfd.FIB];10;264;/konten/mdn/b;
bna;1670213807.960675;[nfd.FIB];20;266;/konten/mdn/b;
bna;1670213807.960997;[nfd.FIB];10;264;/konten/mdn/c;
bna;1670213807.968662;[nfd.FIB];20;266;/konten/mdn/c;
bna;1670213809.051465;[nfd.FIB];50;264;/konten/jkt/a;
bna;1670213809.056893;[nfd.FIB];60;266;/konten/jkt/a;
bna;1670213809.057312;[nfd.FIB];50;264;/konten/jkt/b;
bna;1670213809.057670;[nfd.FIB];60;266;/konten/jkt/b;
bna;1670213809.061242;[nfd.FIB];50;264;/konten/jkt/c;
bna;1670213809.070531;[nfd.FIB];60;266;/konten/jkt/c;
bna;1670213810.166578;[nfd.FIB];80;264;/konten/sby/a;
bna;1670213810.167946;[nfd.FIB];90;266;/konten/sby/a;
bna;1670213810.168472;[nfd.FIB];80;264;/konten/sby/b;
bna;1670213810.169081;[nfd.FIB];90;266;/konten/sby/b;
bna;1670213810.169594;[nfd.FIB];80;264;/konten/sby/c;
bna;1670213810.170157;[nfd.FIB];90;266;/konten/sby/c;
bna;1670213811.233183;[nfd.FIB];90;264;/konten/pal/a;
bna;1670213811.234758;[nfd.FIB];100;266;/konten/pal/a;
bna;1670213811.236580;[nfd.FIB];90;264;/konten/pal/b;
bna;1670213811.236927;[nfd.FIB];100;266;/konten/pal/b;
bna;1670213811.237258;[nfd.FIB];90;264;/konten/pal/c;
bna;1670213811.237590;[nfd.FIB];100;266;/konten/pal/c;
mbo;1670213643.715695;[nfd.FIB];0;1;/localhost/nfd;
mbo;1670213643.849887;[nfd.FIB];0;258;/localhost/nfd/rib;
mbo;1670213667.114427;[nfd.FIB];0;267;/localhop/ndn/nlsr/sync/v=10;
mbo;1670213667.115226;[nfd.FIB];0;267;/localhop/ndn/nlsr/LSA;
mbo;1670213667.115863;[nfd.FIB];0;267;/ndn/mbo-site/%C1.Router/cs/mbo/nlsr/INFO;
mbo;1670213667.117282;[nfd.FIB];0;267;/ndn/mbo-site/%C1.Router/cs/mbo/nlsr;
mbo;1670213667.117908;[nfd.FIB];0;267;/localhost/nlsr;
mbo;1670213667.119010;[nfd.FIB];0;267;/ndn/mbo-site/%C1.Router/cs/mbo/nlsr/KEY;
mbo;1670213667.120572;[nfd.FIB];0;267;/ndn/mbo-site/%C1.Router/cs/mbo/KEY;
mbo;1670213667.121866;[nfd.FIB];0;267;/ndn/mbo-site/%C1.Operator;
mbo;1670213667.122258;[nfd.FIB];0;267;/ndn/mbo-site/KEY;
mbo;1670213667.122604;[nfd.FIB];10;263;/localhop/ndn/nlsr/LSA;
mbo;1670213667.122958;[nfd.FIB];10;266;/ndn/mdn-site/%C1.Router/cs/mdn;
mbo;1670213667.123330;[nfd.FIB];10;266;/localhop/ndn/nlsr/LSA;
mbo;1670213667.124266;[nfd.FIB];10;263;/ndn/bna-site/%C1.Router/cs/bna;
mbo;1670213667.147148;[nfd.FIB];10;263;/localhop/ndn/nlsr/sync/v=10;
mbo;1670213669.192113;[nfd.FIB];10;266;/localhop/ndn/nlsr/sync/v=10;
mbo;1670213693.965687;[nfd.FIB];10;263;/ndn/bna-site/bna;
mbo;1670213709.334124;[nfd.FIB];70;266;/ndn/smg-site/smg;
mbo;1670213709.379303;[nfd.FIB];80;263;/ndn/smg-site/smg;
mbo;1670213709.392804;[nfd.FIB];70;266;/ndn/smg-site/%C1.Router/cs/smg;
mbo;1670213709.393761;[nfd.FIB];80;263;/ndn/smg-site/%C1.Router/cs/smg;
mbo;1670213709.399066;[nfd.FIB];90;266;/ndn/mlg-site/mlg;
mbo;1670213709.399538;[nfd.FIB];100;263;/ndn/mlg-site/mlg;
mbo;1670213709.400176;[nfd.FIB];90;266;/ndn/mlg-site/%C1.Router/cs/mlg;
mbo;1670213709.400654;[nfd.FIB];100;263;/ndn/mlg-site/%C1.Router/cs/mlg;
mbo;1670213709.401069;[nfd.FIB];70;266;/ndn/bjm-site/bjm;
mbo;1670213709.401485;[nfd.FIB];80;263;/ndn/bjm-site/bjm;
mbo;1670213709.401897;[nfd.FIB];70;266;/ndn/bjm-site/%C1.Router/cs/bjm;
mbo;1670213709.402308;[nfd.FIB];80;263;/ndn/bjm-site/%C1.Router/cs/bjm;
mbo;1670213709.402742;[nfd.FIB];80;266;/ndn/mks-site/mks;
mbo;1670213709.404092;[nfd.FIB];90;263;/ndn/mks-site/mks;
mbo;1670213709.405247;[nfd.FIB];80;266;/ndn/mks-site/%C1.Router/cs/mks;
mbo;1670213709.407566;[nfd.FIB];90;263;/ndn/mks-site/%C1.Router/cs/mks;
mbo;1670213709.408042;[nfd.FIB];90;266;/ndn/amb-site/amb;
mbo;1670213709.408810;[nfd.FIB];100;263;/ndn/amb-site/amb;
mbo;1670213709.409556;[nfd.FIB];90;266;/ndn/amb-site/%C1.Router/cs/amb;
mbo;1670213709.410323;[nfd.FIB];100;263;/ndn/amb-site/%C1.Router/cs/amb;
mbo;1670213709.410779;[nfd.FIB];10;266;/ndn/mdn-site/mdn;
mbo;1670213709.411506;[nfd.FIB];20;263;/ndn/mdn-site/mdn;
mbo;1670213709.414860;[nfd.FIB];60;266;/ndn/bdg-site/bdg;
mbo;1670213709.415613;[nfd.FIB];70;263;/ndn/bdg-site/bdg;
mbo;1670213709.416389;[nfd.FIB];60;266;/ndn/bdg-site/%C1.Router/cs/bdg;
mbo;1670213709.417158;[nfd.FIB];70;263;/ndn/bdg-site/%C1.Router/cs/bdg;
mbo;1670213709.417598;[nfd.FIB];40;266;/ndn/pgp-site/pgp;
mbo;1670213709.418326;[nfd.FIB];50;263;/ndn/pgp-site/pgp;
mbo;1670213709.419301;[nfd.FIB];40;266;/ndn/pgp-site/%C1.Router/cs/pgp;
mbo;1670213709.419799;[nfd.FIB];50;263;/ndn/pgp-site/%C1.Router/cs/pgp;
mbo;1670213709.421572;[nfd.FIB];100;266;/ndn/mnd-site/mnd;
mbo;1670213709.422337;[nfd.FIB];110;263;/ndn/mnd-site/mnd;
mbo;1670213709.423771;[nfd.FIB];100;266;/ndn/mnd-site/%C1.Router/cs/mnd;
mbo;1670213709.424556;[nfd.FIB];110;263;/ndn/mnd-site/%C1.Router/cs/mnd;
mbo;1670213709.426529;[nfd.FIB];20;266;/ndn/pbr-site/pbr;
mbo;1670213709.427060;[nfd.FIB];30;263;/ndn/pbr-site/pbr;
mbo;1670213709.427682;[nfd.FIB];20;266;/ndn/pbr-site/%C1.Router/cs/pbr;
mbo;1670213709.428437;[nfd.FIB];30;263;/ndn/pbr-site/%C1.Router/cs/pbr;
mbo;1670213709.429248;[nfd.FIB];90;266;/ndn/dpr-site/dpr;
mbo;1670213709.430136;[nfd.FIB];100;263;/ndn/dpr-site/dpr;
mbo;1670213709.431276;[nfd.FIB];90;266;/ndn/dpr-site/%C1.Router/cs/dpr;
mbo;1670213709.432093;[nfd.FIB];100;263;/ndn/dpr-site/%C1.Router/cs/dpr;
mbo;1670213709.433122;[nfd.FIB];20;266;/ndn/sbg-site/sbg;
mbo;1670213709.434183;[nfd.FIB];30;263;/ndn/sbg-site/sbg;
mbo;1670213709.435317;[nfd.FIB];20;266;/ndn/sbg-site/%C1.Router/cs/sbg;
mbo;1670213709.436138;[nfd.FIB];30;263;/ndn/sbg-site/%C1.Router/cs/sbg;
mbo;1670213709.437039;[nfd.FIB];90;266;/ndn/pal-site/pal;
mbo;1670213709.438175;[nfd.FIB];100;263;/ndn/pal-site/pal;
mbo;1670213709.438970;[nfd.FIB];90;266;/ndn/pal-site/%C1.Router/cs/pal;
mbo;1670213709.439851;[nfd.FIB];100;263;/ndn/pal-site/%C1.Router/cs/pal;
mbo;1670213709.440978;[nfd.FIB];40;266;/ndn/lmp-site/lmp;
mbo;1670213709.441781;[nfd.FIB];50;263;/ndn/lmp-site/lmp;
mbo;1670213709.442684;[nfd.FIB];40;266;/ndn/lmp-site/%C1.Router/cs/lmp;
mbo;1670213709.443817;[nfd.FIB];50;263;/ndn/lmp-site/%C1.Router/cs/lmp;
mbo;1670213709.444962;[nfd.FIB];80;266;/ndn/sby-site/sby;
mbo;1670213709.445619;[nfd.FIB];90;263;/ndn/sby-site/sby;
mbo;1670213709.446636;[nfd.FIB];80;266;/ndn/sby-site/%C1.Router/cs/sby;
mbo;1670213709.450352;[nfd.FIB];90;263;/ndn/sby-site/%C1.Router/cs/sby;
mbo;1670213709.453151;[nfd.FIB];60;266;/ndn/cbn-site/cbn;
mbo;1670213709.453564;[nfd.FIB];70;263;/ndn/cbn-site/cbn;
mbo;1670213709.454202;[nfd.FIB];60;266;/ndn/cbn-site/%C1.Router/cs/cbn;
mbo;1670213709.454894;[nfd.FIB];70;263;/ndn/cbn-site/%C1.Router/cs/cbn;
mbo;1670213709.455296;[nfd.FIB];70;266;/ndn/yyk-site/yyk;
mbo;1670213709.455686;[nfd.FIB];80;263;/ndn/yyk-site/yyk;
mbo;1670213709.456278;[nfd.FIB];70;266;/ndn/yyk-site/%C1.Router/cs/yyk;
mbo;1670213709.456701;[nfd.FIB];80;263;/ndn/yyk-site/%C1.Router/cs/yyk;
mbo;1670213709.457112;[nfd.FIB];30;266;/ndn/btm-site/btm;
mbo;1670213709.457664;[nfd.FIB];40;263;/ndn/btm-site/btm;
mbo;1670213709.458238;[nfd.FIB];30;266;/ndn/btm-site/%C1.Router/cs/btm;
mbo;1670213709.458680;[nfd.FIB];40;263;/ndn/btm-site/%C1.Router/cs/btm;
mbo;1670213709.459113;[nfd.FIB];30;266;/ndn/pad-site/pad;
